Year,Month,Temperature,State
2018,June,17.5,Australian Capital Territory
2019,June,24.9,Queensland
2019,June,15.8,Tasmania
2019,June,17.5,Victoria
2019,June,21.1,New South Wales
2019,June,32.3,Northern Territory
2019,June,22.5,Western Australia
2019,June,18.5,South Australia
2019,June,16.6,Australian Capital Territory
2020,June,24,Queensland
2020,June,15.5,Tasmania
2020,June,15.5,Victoria
2020,June,19.6,New South Wales
2020,June,32.1,Northern Territory
2020,June,22.1,Western Australia
2020,June,17.4,South Australia
2020,June,15,Australian Capital Territory
2021,June,23.9,Queensland
2021,June,15.7,Tasmania
2021,June,17.3,Victoria
2021,June,19.6,New South Wales
2021,June,32.7,Northern Territory
2021,June,22.4,Western Australia
2021,June,19.1,South Australia
2021,June,16.4,Australian Capital Territory
2022,June,23.8,Queensland
2022,June,15.1,Tasmania
2022,June,16.4,Victoria
2022,June,20.4,New South Wales
2022,June,33.6,Northern Territory
2022,June,22.2,Western Australia
2022,June,18.7,South Australia
2022,June,16.1,Australian Capital Territory
2023,June,24,Queensland
2023,June,15.5,Tasmania
2023,June,16.2,Victoria
2023,June,19.4,New South Wales
2023,June,32.2,Northern Territory
2023,June,22.4,Western Australia
2023,June,17.5,South Australia
2023,June,15,Australian Capital Territory
2010,July,21.7,Queensland
2010,July,13.9,Tasmania
2010,July,13.3,Victoria
2010,July,16.4,New South Wales
2010,July,32.6,Northern Territory
2010,July,18.3,Western Australia
2010,July,15,South Australia
2010,July,12.8,Australian Capital Territory
2011,July,21.5,Queensland
2011,July,12,Tasmania
2011,July,13.5,Victoria
2011,July,16.6,New South Wales
2011,July,31.2,Northern Territory
2011,July,18.4,Western Australia
2011,July,15.5,South Australia
2011,July,12.3,Australian Capital Territory
2012,July,21.4,Queensland
2012,July,12.9,Tasmania
2012,July,13.6,Victoria
2012,July,16.5,New South Wales
2012,July,30.6,Northern Territory
2012,July,19.2,Western Australia
2012,July,15.1,South Australia
2012,July,13,Australian Capital Territory
2013,July,21.8,Queensland
2013,July,13.7,Tasmania
2013,July,14.7,Victoria
2013,July,18.3,New South Wales
2013,July,31.5,Northern Territory
2013,July,18.7,Western Australia
2013,July,15.9,South Australia
2013,July,13.4,Australian Capital Territory
2014,July,22.4,Queensland
2014,July,13.4,Tasmania
2014,July,13.5,Victoria
2014,July,17.8,New South Wales
2014,July,31.1,Northern Territory
2014,July,18.4,Western Australia
2014,July,15.1,South Australia
2014,July,12.2,Australian Capital Territory
2015,July,21.1,Queensland
2015,July,12.1,Tasmania
2015,July,12.7,Victoria
2015,July,16.4,New South Wales
2015,July,31.3,Northern Territory
2015,July,18.7,Western Australia
2015,July,14.5,South Australia
2015,July,11.5,Australian Capital Territory
2016,July,22.5,Queensland
2016,July,13.2,Tasmania
2016,July,13.8,Victoria
2016,July,17.9,New South Wales
2016,July,31.5,Northern Territory
2016,July,17.7,Western Australia
2016,July,15.1,South Australia
2016,July,12.7,Australian Capital Territory
2017,July,22.9,Queensland
2017,July,12.2,Tasmania
2017,July,14,Victoria
2017,July,18.2,New South Wales
2017,July,32.6,Northern Territory
2017,July,18.1,Western Australia
2017,July,16.2,South Australia
2017,July,12.9,Australian Capital Territory
2018,July,23.2,Queensland
2018,July,13.4,Tasmania
2018,July,14.1,Victoria
2018,July,18.7,New South Wales
2018,July,31.9,Northern Territory
2018,July,19.1,Western Australia
2018,July,15.9,South Australia
2018,July,13.3,Australian Capital Territory
2019,July,23.5,Queensland
2019,July,13.5,Tasmania
2019,July,14.3,Victoria
2019,July,18.4,New South Wales
2019,July,31.3,Northern Territory
2019,July,19.3,Western Australia
2019,July,16.1,South Australia
2019,July,13.7,Australian Capital Territory
2020,July,22.1,Queensland
2020,July,12.5,Tasmania
2020,July,13.2,Victoria
2020,July,17.6,New South Wales
2020,July,32,Northern Territory
2020,July,19.4,Western Australia
2020,July,15.1,South Australia
2020,July,13.2,Australian Capital Territory
2021,July,21.7,Queensland
2021,July,13,Tasmania
2021,July,13.5,Victoria
2021,July,17.2,New South Wales
2021,July,32.3,Northern Territory
2021,July,18.3,Western Australia
2021,July,15.2,South Australia
2021,July,11.9,Australian Capital Territory
2022,July,19.9,Queensland
2022,July,12.8,Tasmania
2022,July,13.4,Victoria
2022,July,16.8,New South Wales
2022,July,29.8,Northern Territory
2022,July,19,Western Australia
2022,July,14.8,South Australia
2022,July,12.7,Australian Capital Territory
2023,July,22.6,Queensland
2023,July,14.7,Tasmania
2023,July,14.8,Victoria
2023,July,18.7,New South Wales
2023,July,31.6,Northern Territory
2023,July,18.7,Western Australia
